id,PreCollege,After1,AtEnd
793,ND,HD,LD/MD
794,HD,LD/MD,LD/MD
795,ND,LD/MD,LD/MD
796,LD/MD,HD,LD/MD
797,ND,HD,HD
798,ND,LD/MD,LD/MD
799,ND,HD,LD/MD
800,ND,LD/MD,LD/MD
801,ND,HD,HD
802,ND,LD/MD,LD/MD
803,HD,ND,LD/MD
804,ND,ND,ND
805,ND,LD/MD,ND
806,LD/MD,ND,HD
807,LD/MD,LD/MD,LD/MD
808,ND,HD,HD
809,ND,ND,HD
810,LD/MD,ND,HD
811,ND,HD,LD/MD
812,ND,HD,LD/MD
813,LD/MD,HD,ND
814,ND,LD/MD,ND
815,HD,LD/MD,HD
816,LD/MD,HD,HD
817,HD,ND,HD
818,ND,LD/MD,ND
819,ND,LD/MD,LD/MD
820,LD/MD,HD,LD/MD
821,ND,ND,ND
822,ND,ND,HD
823,HD,HD,HD
824,ND,ND,ND
825,ND,HD,ND
826,LD/MD,ND,HD
827,ND,HD,ND
828,ND,HD,LD/MD
829,LD/MD,LD/MD,LD/MD
830,LD/MD,HD,LD/MD
831,HD,HD,LD/MD
832,LD/MD,ND,ND
833,ND,LD/MD,LD/MD
834,LD/MD,LD/MD,HD
835,ND,HD,LD/MD
836,HD,LD/MD,HD
837,HD,HD,HD
838,ND,LD/MD,ND
839,ND,LD/MD,HD
840,HD,LD/MD,HD
841,LD/MD,ND,HD
842,ND,LD/MD,LD/MD
843,LD/MD,ND,HD
844,ND,LD/MD,LD/MD
845,ND,LD/MD,LD/MD
846,HD,LD/MD,HD
847,LD/MD,LD/MD,HD
848,ND,HD,HD
849,ND,HD,HD
850,ND,HD,LD/MD
851,LD/MD,HD,HD
852,ND,ND,LD/MD
853,HD,LD/MD,HD
854,ND,HD,HD
855,ND,LD/MD,ND
856,LD/MD,LD/MD,LD/MD
857,ND,LD/MD,LD/MD
858,ND,HD,HD
859,ND,HD,LD/MD
860,LD/MD,ND,HD
861,ND,LD/MD,ND
862,HD,LD/MD,HD
863,ND,HD,LD/MD
864,ND,HD,LD/MD
865,ND,ND,ND
866,ND,HD,HD
867,LD/MD,LD/MD,HD
868,ND,LD/MD,LD/MD
869,HD,HD,HD
870,HD,HD,LD/MD
871,LD/MD,HD,LD/MD
872,ND,LD/MD,LD/MD
873,ND,HD,LD/MD
874,ND,LD/MD,LD/MD
875,HD,ND,HD
876,ND,LD/MD,LD/MD
877,HD,HD,HD
878,LD/MD,ND,HD
879,LD/MD,LD/MD,HD
880,HD,HD,LD/MD
881,ND,ND,ND
882,LD/MD,HD,LD/MD
883,ND,HD,LD/MD
884,ND,ND,ND
885,ND,LD/MD,ND
886,ND,HD,LD/MD
887,ND,HD,HD
888,ND,LD/MD,ND
889,ND,HD,LD/MD
890,ND,LD/MD,LD/MD
891,HD,HD,HD
892,LD/MD,LD/MD,HD
893,LD/MD,LD/MD,HD
894,ND,HD,HD
895,ND,HD,HD
896,ND,HD,HD
897,ND,ND,ND
898,ND,HD,LD/MD
899,ND,LD/MD,LD/MD
900,ND,LD/MD,LD/MD
901,ND,HD,LD/MD
902,ND,LD/MD,ND
903,HD,HD,LD/MD
904,HD,ND,HD
905,ND,HD,ND
906,LD/MD,LD/MD,LD/MD
907,ND,LD/MD,LD/MD
908,LD/MD,HD,LD/MD
909,ND,HD,HD
910,HD,HD,LD/MD
911,ND,HD,HD
912,LD/MD,LD/MD,ND
913,ND,HD,ND
914,ND,LD/MD,HD
915,ND,ND,ND
916,ND,LD/MD,LD/MD
917,ND,HD,LD/MD
918,ND,ND,ND
919,ND,ND,ND
920,LD/MD,HD,LD/MD
921,ND,LD/MD,LD/MD
